old_entrez_gene_id	new_entrez_gene_id	date
7810	7446	20050510
7811	1486	20050510
7814	1186	20060515
7815	24	20050506
7816	4000	20050510
7817	6390	20060114
7819	80128	20061103
7820	3765	20050503
7821	7391	20050504
7822	6375	20050505
7823	5451	20050506
7825	4914	20050510
7826	10560	20050510
7828	1308	20081119
7829	3080	20050504
7831	1118	20050510
7833	7100	20140803
7835	5824	20050509
7836	1116	20050510
7838	6654	20050502
7843	10578	20050217
7847	7273	20050520
7848	28862	20050510
7853	4760	20050509
7854	23545	20080317
7856	617	20070426
7858	6508	20050510
7859	3239	20060515
7860	3800	20050510
7863	8466	20050510
7865	6917	20050504
7868	6405	20050510
7872	291	20050508
7875	7318	20050502
7876	8309	20050503
7877	25978	20060515
7878	846	20050520
7882	1466	20050510
7883	1816	20050510
7886	2121	20050510
7887	7096	20050510
7888	1834	20050518
7890	5431	20050510
7891	728045	20050510
7893	5177	20050508
7894	5458	20050509
7898	5019	20050510
7899	392255	20050510
7901	2150	20050506
7902	1462	20061130
7904	7310	20050509
7906	79628	20050217
7907	3593	20060608
7912	6310	20050502
7924	3119	20050518
7929	7940	20050509
7930	3122	20100319
7931	4337	20050509
7934	5460	20050502
7935	3113	20090529
7943	667	20070324
7946	3117	20060405
7947	26585	20050510
7949	8838	20050520
7950	1310	20050502
7953	2697	20050510
7958	5071	20050510
7961	8706	20050510
7964	654	20050510
7966	1541	20110607
7967	7291	20050508
7968	11281	20050510
7969	2617	20050510
7970	644000	20050510
7972	2617	20050508
7973	2020	20050510
7981	51422	20060607
7983	5803	20050502
7987	3110	20050510
7989	1730	20100803
7992	51435	20050509
7995	56172	20050509
7996	5324	20050518
7998	10397	20050510
7999	4061	20050510
8002	9401	20050510
8004	6765	20090328
8005	3440	20050502
8006	3441	20050510
8007	3442	20050510
8008	4507	20120507
8010	1540	20080817
8012	2733	20080317
8014	27130	20050502
8015	5727	20050503
8016	25861	20080405
8017	1757	20050505
8018	3160	20050506
8020	4575	20101117
8025	1316	20050502
8033	7019	20050510
8035	657	20060607
8037	5728	20100321
8040	1326	20050503
8042	5002	20050505
8043	283120	20050506
8044	7140	20060607
8046	6150	20050510
8047	3047	20050510
8049	966	20050510
8051	4005	20070406
8052	3732	20050506
8053	4488	20050510
8055	10661	20090815
8057	1500	20050509
8058	4041	20050510
8059	10312	20050520
8062	340024	20050518
8063	418	20050217
8064	401	20050510
8067	4863	20050510
8070	7704	20050510
8071	3703	20050510
8072	55315	20120507
8077	7132	20050520
8084	362	20140516
8088	6490	20050509
8095	6311	20050506
8096	8200	20060607
8097	26353	20050610
8098	59341	20100804
8107	145282	20060607
8108	6252	20050502
8109	3895	20050510
8112	1397	20050510
8116	3492	20080409
8119	138050	20070105
8122	145624	20050504
8124	9990	20050510
8127	5315	20050503
8133	4363	20050502
8134	6687	20050510
8135	64127	20050510
8138	5699	20050510
8143	29	20050518
8145	3000	20100321
8146	1411	20060606
8147	6352	20050504
8149	50964	20060113
8150	6521	20050509
8152	4137	20050217
8154	6521	20050510
8155	6521	20060207
8157	65266	20050508
8158	6521	20060607
8159	9241	20050510
8162	10801	20060823
8164	9267	20050510
8166	2271	20050502
8169	4436	20081113
8171	8792	20060607
8172	8792	20050509
8176	199746	20050502
8179	6455	20050509
8180	9002	20050510
8182	6223	20050507
8183	4868	20050510
8185	147700	20050509
8186	80207	20050510
8191	10520	20050510
8194	140885	20050510
8196	3642	20050502
8197	58495	20170124
8198	30813	20050510
8199	84557	20050510
8203	4159	20090324
8206	3763	20050510
8207	861	20060606
8210	8209	20050502
8211	6450	20050503
8222	3543	20050510
8223	6663	20050510
8230	4281	20050509
8234	4113	20050502
8235	4112	20050503
8236	4112	20050504
8238	190	20050509
8240	7317	20080817
8244	7030	20050510
